timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
65017996,0,0.0,0.0,0.0,0.0,-1.02926,0.0,0.0,0.0,-0.396601,-0.159077,-0.067088,-0.0514925,0.0,0.0,0.0,2.41545,0.0,0.1,0.067088,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
65118793,0,0.0,0.0,0.0,0.0,-1.04107,0.0,0.0,0.0,-0.47964,-0.0477605,-0.129319,-0.115526,0.0,0.0,0.0,2.42019,0.0,0.110095,0.129319,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
65220456,0,0.0,0.0,0.0,0.0,-1.05009,0.0,0.0,0.0,-0.543661,0.0383336,-0.0713665,-0.0562782,0.0,0.0,0.0,2.42331,0.0,0.11978,0.0713665,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
65324356,0,0.0,0.0,0.0,0.0,-1.04789,0.0,0.0,0.0,-0.520384,0.103422,0.00615737,0.0249412,0.0,0.0,0.0,2.41624,0.0,0.114661,-0.00615737,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
65424354,0,0.0,0.0,0.0,0.0,-1.04578,0.0,0.0,0.0,-0.463424,0.156406,-0.0515812,-0.0311553,0.0,0.0,0.0,2.40058,0.0,0.105544,0.0515812,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
65524356,0,0.0,0.0,0.0,0.0,-1.05099,0.0,0.0,0.0,-0.43105,0.16948,-0.134582,-0.112353,0.0,0.0,0.0,2.38126,0.0,0.115491,0.134582,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
65628330,0,0.0,0.0,0.0,0.0,-1.0644,0.0,0.0,0.0,-0.523928,0.136742,-0.147506,-0.124402,0.0,0.0,0.0,2.36141,0.0,0.120346,0.147506,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
65728346,0,0.0,0.0,0.0,0.0,-1.07754,0.0,0.0,0.0,-0.54841,0.112104,-0.0805441,-0.0606607,0.0,0.0,0.0,2.34979,0.0,0.110781,0.0805441,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
65828364,0,0.0,0.0,0.0,0.0,-1.08216,0.0,0.0,0.0,-0.550892,0.147838,0.0571673,0.0721437,0.0,0.0,0.0,2.34417,0.0,0.1,-0.0571673,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
65932344,0,0.0,0.0,0.0,0.0,-1.07789,0.0,0.0,0.0,-0.515264,0.16665,0.122401,0.130421,0.0,0.0,0.0,2.34491,0.0,0.1,-0.122401,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
66032391,0,0.0,0.0,0.0,0.0,-1.07461,0.0,0.0,0.0,-0.456104,0.195453,0.0416673,0.0435166,0.0,0.0,0.0,2.35559,0.0,0.1,-0.0416673,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
66134071,0,0.0,0.0,0.0,0.0,-1.08149,0.0,0.0,0.0,-0.49754,0.215151,-0.037847,-0.0419347,0.0,0.0,0.0,2.37735,0.0,0.1,0.037847,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
66234039,0,0.0,0.0,0.0,0.0,-1.09355,0.0,0.0,0.0,-0.503569,0.28139,-0.0616022,-0.0708739,0.0,0.0,0.0,2.39967,0.0,0.1,0.0616022,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
66337965,0,0.0,0.0,0.0,0.0,-1.10442,0.0,0.0,0.0,-0.49725,0.318586,0.0193517,0.00413155,0.0,0.0,0.0,2.41195,0.0,0.1,-0.0193517,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
66437993,0,0.0,0.0,0.0,0.0,-1.11009,0.0,0.0,0.0,-0.4242,0.345765,0.0824508,0.0582676,0.0,0.0,0.0,2.41104,0.0,0.1,-0.0824508,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
66541925,0,0.0,0.0,0.0,0.0,-1.11063,0.0,0.0,0.0,-0.373196,0.350599,0.0533799,0.0244122,0.0,0.0,0.0,2.39677,0.0,0.1,-0.0533799,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
66641971,0,0.0,0.0,0.0,0.0,-1.11738,0.0,0.0,0.0,-0.338846,0.304135,0.00437998,-0.0294537,0.0,0.0,0.0,2.37632,0.0,0.1,-0.00437998,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
66742070,0,0.0,0.0,0.0,0.0,-1.12539,0.0,0.0,0.0,-0.329997,0.264663,-0.0062705,-0.0445018,0.0,0.0,0.0,2.34942,0.0,0.1,0.0062705,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
66843566,0,0.0,0.0,0.0,0.0,-1.13418,0.0,0.0,0.0,-0.259198,0.267686,-0.0498999,-0.0888282,0.0,0.0,0.0,2.3214,0.0,0.1,0.0498999,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
66947656,0,0.0,0.0,0.0,0.0,-1.1454,0.0,0.0,0.0,-0.198566,0.296325,-0.0210496,-0.0620257,0.0,0.0,0.0,2.29451,0.0,0.1,0.0210496,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
67047564,0,0.0,0.0,0.0,0.0,-1.15712,0.0,0.0,0.0,-0.138508,0.278195,-0.0458474,-0.0910813,0.0,0.0,0.0,2.27597,0.0,0.1,0.0458474,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
67147555,0,0.0,0.0,0.0,0.0,-1.16997,0.0,0.0,0.0,-0.141882,0.275994,-0.107934,-0.151739,0.0,0.0,0.0,2.2694,0.0,0.10875,0.107934,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
67251516,0,0.0,0.0,0.0,0.0,-1.18016,0.0,0.0,0.0,-0.197271,0.272109,-0.0527724,-0.0922738,0.0,0.0,0.0,2.2699,0.0,0.116856,0.0527724,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
67351612,0,0.0,0.0,0.0,0.0,-1.18095,0.0,0.0,0.0,-0.184526,0.287601,0.0636624,0.0284419,0.0,0.0,0.0,2.27101,0.0,0.109898,-0.0636624,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
67455562,0,0.0,0.0,0.0,0.0,-1.17084,0.0,0.0,0.0,-0.104361,0.311009,0.138344,0.105192,0.0,0.0,0.0,2.26937,0.0,0.1,-0.138344,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
67555671,0,0.0,0.0,0.0,0.0,-1.16271,0.0,0.0,0.0,-0.00113723,0.326331,0.0835041,0.0513971,0.0,0.0,0.0,2.25959,0.0,0.1,-0.0835041,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
67657248,0,0.0,0.0,0.0,0.0,-1.15825,0.0,0.0,0.0,0.0639805,0.270466,0.054425,0.0235271,0.0,0.0,0.0,2.23948,0.0,0.1,-0.054425,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
67757162,0,0.0,0.0,0.0,0.0,-1.15196,0.0,0.0,0.0,0.0577917,0.16839,0.100556,0.0717984,0.0,0.0,0.0,2.21895,0.0,0.1,-0.100556,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
67861230,0,0.0,0.0,0.0,0.0,-1.13895,0.0,0.0,0.0,0.0995355,0.135488,0.134423,0.111079,0.0,0.0,0.0,2.20974,0.0,0.1,-0.134423,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
