timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,system_source,priority,warning
391181119,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
391675557,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
392181835,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
392676308,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
393183494,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
393678753,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
394185849,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
394681870,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
395186718,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
395681046,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
396187503,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
396683448,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
397191470,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
397685966,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
398191435,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
398683554,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
399189080,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
399681910,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
400187435,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
400693841,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
401189905,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
401696316,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
402189033,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
402694748,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
403200317,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
403695450,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
404201090,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
404695580,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
405201938,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
405696328,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
406200284,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
406697117,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
407206635,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
407698678,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
408202823,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
408708303,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
409202695,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
409709055,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
410202652,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
410709049,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
411204337,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
411709820,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
