timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
501362007,1039.0,1,0,0,0
501403018,1040.0,1,0,0,0
501424083,1039.0,1,0,0,0
501444039,1040.0,1,0,0,0
504041017,1039.0,1,0,0,0
504941007,1038.0,1,0,0,0
505476007,1037.0,1,0,0,0
506109013,1036.0,1,0,0,0
506622722,1035.0,1,0,0,0
507079202,1034.0,1,0,0,0
507474007,1033.0,1,0,0,0
507765022,1032.0,1,0,0,0
508056007,1031.0,1,0,0,0
508364020,1030.0,1,0,0,0
508651007,1029.0,1,0,0,0
508937019,1028.0,1,0,0,0
509207007,1027.0,1,0,0,0
509456010,1026.0,1,0,0,0
509743007,1025.0,1,0,0,0
510070007,1024.0,1,0,0,0
510527007,1023.0,1,0,0,0
511029594,1022.0,1,0,0,0
511448020,1021.0,1,0,0,0
511838043,1020.0,1,0,0,0
512290040,1019.0,1,0,0,0
512601011,1018.0,1,0,0,0
512871018,1017.0,1,0,0,0
513099018,1016.0,1,0,0,0
513327019,1015.0,1,0,0,0
513556018,1014.0,1,0,0,0
513864033,1013.0,1,0,0,0
514221618,1012.0,1,0,0,0
514598007,1011.0,1,0,0,0
515012010,1010.0,1,0,0,0
515446007,1009.0,1,0,0,0
515814010,1008.0,1,0,0,0
516329007,1007.0,1,0,0,0
517300790,1006.0,1,0,0,0
519287019,1005.0,1,0,0,0
521896404,1006.0,1,0,0,0
522247162,1007.0,1,0,0,0
522513045,1008.0,1,0,0,0
522840030,1009.0,1,0,0,0
523211007,1010.0,1,0,0,0
523794010,1011.0,1,0,0,0
525203192,1012.0,1,0,0,0
526893519,1013.0,1,0,0,0
527708010,1014.0,1,0,0,0
528184007,1015.0,1,0,0,0
528553010,1016.0,1,0,0,0
528900007,1017.0,1,0,0,0
529332007,1018.0,1,0,0,0
529787018,1019.0,1,0,0,0
530074007,1020.0,1,0,0,0
530340049,1021.0,1,0,0,0
530567007,1022.0,1,0,0,0
530751007,1023.0,1,0,0,0
530913011,1024.0,1,0,0,0
531056007,1025.0,1,0,0,0
531220019,1026.0,1,0,0,0
531364010,1027.0,1,0,0,0
531530413,1028.0,1,0,0,0
531737069,1029.0,1,0,0,0
531985018,1030.0,1,0,0,0
532397014,1031.0,1,0,0,0
533644007,1032.0,1,0,0,0
