timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s
0,0.0271523,0.02451
0,0.0308711,0.0296933
0,0.0221849,0.0265463
0,0.0441938,0.0300701
0,0.022244,0.0289886
0,0.024381,0.0272693
0,0.0314601,0.0290374
0,0.0361845,0.0298907
0,0.00888799,0.0276956
0,0.0306795,0.0285841
0,0.0422094,0.0282517
0,0.0323242,0.0293741
0,0.0184788,0.0307032
0,0.0336959,0.026958
0,0.0256549,0.0272454
0,0.00854086,0.0264238
0,0.0240893,0.0277398
0,0.0358646,0.0281981
0,0.0348074,0.0284535
0,0.0203222,0.0261953
0,0.0368501,0.025727
0,0.0302759,0.0274978
0,0.032395,0.0276198
0,0.0250981,0.0305724
0,0.0111293,0.0255458
0,0.0153862,0.0253058
0,0.0240728,0.0244942
0,0.0215927,0.0275303
0,0.0324274,0.025893
0,0.0248248,0.0250369
0,0.0108504,0.0272915
0,0.0308667,0.0255894
0,0.0223705,0.0257124
0,0.0435047,0.0268135
0,0.0289296,0.0252521
0,0.0273463,0.0276368
0,0.02515,0.0248988
0,0.0461055,0.0271097
0,0.0363967,0.0292533
0,0.0263163,0.0275886
0,0.0388765,0.0301817
0,0.0198633,0.0291094
0,0.0533483,0.0309288
0,0.0365911,0.0259727
0,0.0178547,0.025381
0,0.0285151,0.0271346
0,0.0374293,0.0261728
0,0.043644,0.0248856
0,0.0363195,0.0265749
0,0.036114,0.0262254
0,0.0275189,0.0268014
0,0.0147169,0.0241641
0,0.0209133,0.02446
0,0.0331773,0.0272127
0,0.0455108,0.0266522
0,0.045232,0.0261774
0,0.0221284,0.0280368
0,0.0408498,0.0281195
0,0.0537241,0.0260571
0,0.0347218,0.0257845
0,0.0242087,0.0253808
0,0.0243014,0.0260983
0,0.00557794,0.0264138
0,0.0286197,0.0256104
0,0.0307883,0.0248553
0,0.0420611,0.0254876
0,0.0329956,0.0268735
0,0.0412425,0.0254656
0,0.0232331,0.0242411
0,0.0112151,0.0226984
0,0.023492,0.0239097
0,0.045375,0.0244579
0,0.0254776,0.0255886
0,0.0349335,0.0241533
